rank,name,date
44,Anthony Edwards,11-01-2025
45,Brandon Ingram,11-01-2025
46,Aaron Gordon,11-01-2025
47,Kristaps Porzingis,11-01-2025
48,Michael Porter Jr.,11-01-2025
49,Zion Williamson,11-01-2025
50,Franz Wagner,11-01-2025
1,Luka Doncic,11-02-2025
2,Giannis Antetokounmpo,11-02-2025
3,Victor Wembanyama,11-02-2025
4,Tyrese Maxey,11-02-2025
5,Nikola Jokic,11-02-2025
6,Shai Gilgeous-Alexander,11-02-2025
7,Austin Reaves,11-02-2025
8,Lauri Markkanen,11-02-2025
9,Julius Randle,11-02-2025
10,Devin Booker,11-02-2025
11,LaMelo Ball,11-02-2025
12,Bennedict Mathurin,11-02-2025
13,Jalen Brunson,11-02-2025
14,Alperen Sengun,11-02-2025
15,Josh Giddey,11-02-2025
16,Jamal Murray,11-02-2025
17,Nikola Vucevic,11-02-2025
18,James Harden,11-02-2025
19,Chet Holmgren,11-02-2025
20,Kevin Durant,11-02-2025
21,Jalen Johnson,11-02-2025
22,Cade Cunningham,11-02-2025
23,Stephen Curry,11-02-2025
24,Donovan Mitchell,11-02-2025
25,Zach LaVine,11-02-2025
26,Pascal Siakam,11-02-2025
27,Kawhi Leonard,11-02-2025
28,Norman Powell,11-02-2025
29,Paolo Banchero,11-02-2025
30,Jaylen Brown,11-02-2025
31,Evan Mobley,11-02-2025
32,Keyonte George,11-02-2025
33,Anthony Davis,11-02-2025
34,Mikal Bridges,11-02-2025
35,VJ Edgecombe,11-02-2025
36,Scottie Barnes,11-02-2025
37,Jrue Holiday,11-02-2025
38,Jimmy Butler III,11-02-2025
39,Bam Adebayo,11-02-2025
40,Zion Williamson,11-02-2025
41,Kyshawn George,11-02-2025
42,Anthony Edwards,11-02-2025
43,Deni Avdija,11-02-2025
44,Franz Wagner,11-02-2025
45,Brandon Ingram,11-02-2025
46,Michael Porter Jr.,11-02-2025
47,Alex Sarr,11-02-2025
48,Domantas Sabonis,11-02-2025
49,Walker Kessler,11-02-2025
50,Jalen Duren,11-02-2025
1,Luka Doncic,11-03-2025
2,Giannis Antetokounmpo,11-03-2025
3,Tyrese Maxey,11-03-2025
4,Nikola Jokic,11-03-2025
5,Victor Wembanyama,11-03-2025
6,Shai Gilgeous-Alexander,11-03-2025
7,Austin Reaves,11-03-2025
8,Lauri Markkanen,11-03-2025
9,Devin Booker,11-03-2025
10,Julius Randle,11-03-2025
11,LaMelo Ball,11-03-2025
12,Bennedict Mathurin,11-03-2025
13,Jalen Brunson,11-03-2025
14,Josh Giddey,11-03-2025
15,Alperen Sengun,11-03-2025
16,Donovan Mitchell,11-03-2025
17,Jamal Murray,11-03-2025
18,Nikola Vucevic,11-03-2025
19,Jalen Johnson,11-03-2025
20,James Harden,11-03-2025
21,Chet Holmgren,11-03-2025
22,Kevin Durant,11-03-2025
23,Cade Cunningham,11-03-2025
24,Stephen Curry,11-03-2025
25,Zach LaVine,11-03-2025
26,Pascal Siakam,11-03-2025
27,Kawhi Leonard,11-03-2025
28,Norman Powell,11-03-2025
29,Paolo Banchero,11-03-2025
30,Scottie Barnes,11-03-2025
31,Jaylen Brown,11-03-2025
32,Keyonte George,11-03-2025
33,Anthony Davis,11-03-2025
34,Jrue Holiday,11-03-2025
35,Jimmy Butler III,11-03-2025
36,Evan Mobley,11-03-2025
37,Bam Adebayo,11-03-2025
38,Brandon Ingram,11-03-2025
39,Kyshawn George,11-03-2025
40,Anthony Edwards,11-03-2025
41,Deni Avdija,11-03-2025
42,Mikal Bridges,11-03-2025
43,Franz Wagner,11-03-2025
44,Karl-Anthony Towns,11-03-2025
45,Zion Williamson,11-03-2025
46,VJ Edgecombe,11-03-2025
47,Jaime Jaquez Jr.,11-03-2025
48,Miles Bridges,11-03-2025
49,Alex Sarr,11-03-2025
50,Stephon Castle,11-03-2025
1,Luka Doncic,11-04-2025
2,Giannis Antetokounmpo,11-04-2025
3,Nikola Jokic,11-04-2025
4,Tyrese Maxey,11-04-2025
5,Victor Wembanyama,11-04-2025
6,Shai Gilgeous-Alexander,11-04-2025
7,Austin Reaves,11-04-2025
8,Devin Booker,11-04-2025
9,Julius Randle,11-04-2025
10,Lauri Markkanen,11-04-2025
11,LaMelo Ball,11-04-2025
12,Bennedict Mathurin,11-04-2025
13,Josh Giddey,11-04-2025
14,Donovan Mitchell,11-04-2025
15,James Harden,11-04-2025
16,Jalen Brunson,11-04-2025
17,Cade Cunningham,11-04-2025
18,Alperen Sengun,11-04-2025
19,Nikola Vucevic,11-04-2025
20,Pascal Siakam,11-04-2025
21,Jalen Johnson,11-04-2025
22,Chet Holmgren,11-04-2025
23,Kawhi Leonard,11-04-2025
24,Stephen Curry,11-04-2025
25,Jamal Murray,11-04-2025
26,Jaylen Brown,11-04-2025
27,Paolo Banchero,11-04-2025
28,Keyonte George,11-04-2025
29,Scottie Barnes,11-04-2025
30,Karl-Anthony Towns,11-04-2025
31,Kevin Durant,11-04-2025
32,Bam Adebayo,11-04-2025
33,Anthony Davis,11-04-2025
34,Zach LaVine,11-04-2025
35,Deni Avdija,11-04-2025
36,Jimmy Butler III,11-04-2025
37,Norman Powell,11-04-2025
38,Evan Mobley,11-04-2025
39,Brandon Ingram,11-04-2025
40,Anthony Edwards,11-04-2025
41,Franz Wagner,11-04-2025
42,Zion Williamson,11-04-2025
43,Alex Sarr,11-04-2025
44,VJ Edgecombe,11-04-2025
45,Domantas Sabonis,11-04-2025
46,Kyshawn George,11-04-2025
47,Miles Bridges,11-04-2025
48,Stephon Castle,11-04-2025
49,Walker Kessler,11-04-2025
50,Mikal Bridges,11-04-2025

1,Luka Doncic,11-05-2025
2,Giannis Antetokounmpo,11-05-2025
3,Nikola Jokic,11-05-2025
4,Tyrese Maxey,11-05-2025
5,Shai Gilgeous-Alexander,11-05-2025
6,Victor Wembanyama,11-05-2025
7,Austin Reaves,11-05-2025
8,Devin Booker,11-05-2025
9,Josh Giddey,11-05-2025
10,Julius Randle,11-05-2025
11,Lauri Markkanen,11-05-2025
12,LaMelo Ball,11-05-2025
13,Bennedict Mathurin,11-05-2025
14,Alperen Sengun,11-05-2025
15,Donovan Mitchell,11-05-2025
16,James Harden,11-05-2025
17,Jalen Brunson,11-05-2025
18,Cade Cunningham,11-05-2025
19,Pascal Siakam,11-05-2025
20,Kawhi Leonard,11-05-2025
21,Nikola Vucevic,11-05-2025
22,Jamal Murray,11-05-2025
23,Stephen Curry,11-05-2025
24,Jalen Johnson,11-05-2025
25,Scottie Barnes,11-05-2025
26,Paolo Banchero,11-05-2025
27,Kevin Durant,11-05-2025
28,Jaylen Brown,11-05-2025
29,Keyonte George,11-05-2025
30,Karl-Anthony Towns,11-05-2025
31,Bam Adebayo,11-05-2025
32,Anthony Davis,11-05-2025
33,Chet Holmgren,11-05-2025
34,Zach LaVine,11-05-2025
35,Deni Avdija,11-05-2025
36,Norman Powell,11-05-2025
37,Evan Mobley,11-05-2025
38,Anthony Edwards,11-05-2025
39,Brandon Ingram,11-05-2025
40,Zion Williamson,11-05-2025
41,Alex Sarr,11-05-2025
42,Domantas Sabonis,11-05-2025
43,Kyshawn George,11-05-2025
44,Stephon Castle,11-05-2025
45,Walker Kessler,11-05-2025
46,Mikal Bridges,11-05-2025
47,Miles Bridges,11-05-2025
48,VJ Edgecombe,11-05-2025
49,RJ Barrett,11-05-2025
50,Jrue Holiday,11-05-2025
1,Luka Doncic,11-06-2025
2,Nikola Jokic,11-06-2025
3,Giannis Antetokounmpo,11-06-2025
4,Tyrese Maxey,11-06-2025
