rank,name,date
9,Tyler Herro,11-28-2025
10,Austin Reaves,11-28-2025
11,Donovan Mitchell,11-28-2025
12,Jalen Johnson,11-28-2025
13,Josh Giddey,11-28-2025
14,Jalen Brunson,11-28-2025
15,Alperen Sengun,11-28-2025
16,Jaylen Brown,11-28-2025
17,Lauri Markkanen,11-28-2025
18,Anthony Edwards,11-28-2025
19,Karl-Anthony Towns,11-28-2025
20,Deni Avdija,11-28-2025
21,Julius Randle,11-28-2025
22,Stephen Curry,11-28-2025
23,De'Aaron Fox,11-28-2025
24,Devin Booker,11-28-2025
25,Jamal Murray,11-28-2025
26,Scottie Barnes,11-28-2025
27,Jalen Duren,11-28-2025
28,Keyonte George,11-28-2025
29,Michael Porter Jr.,11-28-2025
30,Pascal Siakam,11-28-2025
31,Kawhi Leonard,11-28-2025
32,Anthony Davis,11-28-2025
33,LaMelo Ball,11-28-2025
34,Franz Wagner,11-28-2025
35,Paolo Banchero,11-28-2025
36,Coby White,11-28-2025
37,Jimmy Butler III,11-28-2025
38,Kevin Durant,11-28-2025
39,LeBron James,11-28-2025
40,Alex Sarr,11-28-2025
41,Domantas Sabonis,11-28-2025
42,Norman Powell,11-28-2025
43,Ivica Zubac,11-28-2025
44,Brandon Ingram,11-28-2025
45,Evan Mobley,11-28-2025
46,Walker Kessler,11-28-2025
47,Jrue Holiday,11-28-2025
48,Miles Bridges,11-28-2025
49,Zion Williamson,11-28-2025
50,Stephon Castle,11-28-2025

1,Nikola Jokic,11-29-2025
2,Luka Doncic,11-29-2025
3,Giannis Antetokounmpo,11-29-2025
4,Shai Gilgeous-Alexander,11-29-2025
5,Victor Wembanyama,11-29-2025
6,Tyrese Maxey,11-29-2025
7,Cade Cunningham,11-29-2025
8,Austin Reaves,11-29-2025
9,James Harden,11-29-2025
10,Donovan Mitchell,11-29-2025
11,Tyler Herro,11-29-2025
12,Jalen Johnson,11-29-2025
13,Josh Giddey,11-29-2025
14,Jalen Brunson,11-29-2025
15,Alperen Sengun,11-29-2025
16,Jaylen Brown,11-29-2025
17,Lauri Markkanen,11-29-2025
18,Anthony Edwards,11-29-2025
19,Deni Avdija,11-29-2025
20,Jamal Murray,11-29-2025
21,Julius Randle,11-29-2025
22,Stephen Curry,11-29-2025
23,Devin Booker,11-29-2025
24,Karl-Anthony Towns,11-29-2025
25,De'Aaron Fox,11-29-2025
26,Kawhi Leonard,11-29-2025
27,Scottie Barnes,11-29-2025
28,Keyonte George,11-29-2025
29,Jalen Duren,11-29-2025
30,Pascal Siakam,11-29-2025
31,Michael Porter Jr.,11-29-2025
32,LaMelo Ball,11-29-2025
33,Paolo Banchero,11-29-2025
34,Franz Wagner,11-29-2025
35,Anthony Davis,11-29-2025
36,Jimmy Butler III,11-29-2025
37,Kevin Durant,11-29-2025
38,Coby White,11-29-2025
39,Alex Sarr,11-29-2025
40,Domantas Sabonis,11-29-2025
41,Evan Mobley,11-29-2025
42,Norman Powell,11-29-2025
43,Keegan Murray,11-29-2025
44,Brandon Ingram,11-29-2025
45,Miles Bridges,11-29-2025
46,Ivica Zubac,11-29-2025
47,Walker Kessler,11-29-2025
48,Jrue Holiday,11-29-2025
49,Zion Williamson,11-29-2025
50,Stephon Castle,11-29-2025


1,Nikola Jokic,11-30-2025
2,Luka Doncic,11-30-2025
3,Giannis Antetokounmpo,11-30-2025
4,Shai Gilgeous-Alexander,11-30-2025
5,Victor Wembanyama,11-30-2025
6,Tyrese Maxey,11-30-2025
7,Cade Cunningham,11-30-2025
8,Austin Reaves,11-30-2025
9,James Harden,11-30-2025
10,Donovan Mitchell,11-30-2025
11,Jalen Johnson,11-30-2025
12,Josh Giddey,11-30-2025
13,Jalen Brunson,11-30-2025
14,Jaylen Brown,11-30-2025
15,Alperen Sengun,11-30-2025
16,Anthony Edwards,11-30-2025
17,Tyler Herro,11-30-2025
18,Lauri Markkanen,11-30-2025
19,Deni Avdija,11-30-2025
20,Stephen Curry,11-30-2025
21,Jamal Murray,11-30-2025
22,Julius Randle,11-30-2025
23,Devin Booker,11-30-2025
24,Karl-Anthony Towns,11-30-2025
25,Kawhi Leonard,11-30-2025
26,Scottie Barnes,11-30-2025
27,De'Aaron Fox,11-30-2025
28,Keyonte George,11-30-2025
29,Pascal Siakam,11-30-2025
30,Jalen Duren,11-30-2025
31,Michael Porter Jr.,11-30-2025
32,Jimmy Butler III,11-30-2025
33,Paolo Banchero,11-30-2025
34,Franz Wagner,11-30-2025
35,Anthony Davis,11-30-2025
36,Kevin Durant,11-30-2025
37,Coby White,11-30-2025
38,Alex Sarr,11-30-2025
39,LaMelo Ball,11-30-2025
40,Domantas Sabonis,11-30-2025
41,Evan Mobley,11-30-2025
42,Norman Powell,11-30-2025
43,Miles Bridges,11-30-2025
44,Keegan Murray,11-30-2025
45,Ivica Zubac,11-30-2025
46,Brandon Ingram,11-30-2025
47,Walker Kessler,11-30-2025
48,Jrue Holiday,11-30-2025
49,Zion Williamson,11-30-2025
50,Stephon Castle,11-30-2025

1,Nikola Jokic,12-01-2025
2,Luka Doncic,12-01-2025
3,Giannis Antetokounmpo,12-01-2025
4,Shai Gilgeous-Alexander,12-01-2025
5,Tyrese Maxey,12-01-2025
6,Victor Wembanyama,12-01-2025
7,Cade Cunningham,12-01-2025
8,Austin Reaves,12-01-2025
9,James Harden,12-01-2025
10,Donovan Mitchell,12-01-2025
11,Jalen Johnson,12-01-2025
12,Josh Giddey,12-01-2025
13,Jaylen Brown,12-01-2025
14,Anthony Edwards,12-01-2025
15,Jalen Brunson,12-01-2025
16,Alperen Sengun,12-01-2025
17,Deni Avdija,12-01-2025
18,Tyler Herro,12-01-2025
19,Julius Randle,12-01-2025
20,Stephen Curry,12-01-2025
21,Lauri Markkanen,12-01-2025
22,Jamal Murray,12-01-2025
23,Devin Booker,12-01-2025
24,Kawhi Leonard,12-01-2025
25,Karl-Anthony Towns,12-01-2025
26,Scottie Barnes,12-01-2025
27,De'Aaron Fox,12-01-2025
28,Pascal Siakam,12-01-2025
29,Jalen Duren,12-01-2025
30,Michael Porter Jr.,12-01-2025
31,Kevin Durant,12-01-2025
32,Jimmy Butler III,12-01-2025
33,Paolo Banchero,12-01-2025
34,Franz Wagner,12-01-2025
35,Keyonte George,12-01-2025
36,Anthony Davis,12-01-2025
37,Evan Mobley,12-01-2025
38,Coby White,12-01-2025
39,Alex Sarr,12-01-2025
40,LaMelo Ball,12-01-2025
41,Domantas Sabonis,12-01-2025
42,Norman Powell,12-01-2025
43,Miles Bridges,12-01-2025
44,Ivica Zubac,12-01-2025
45,Walker Kessler,12-01-2025
46,Jrue Holiday,12-01-2025
47,Zion Williamson,12-01-2025
48,Stephon Castle,12-01-2025
49,Brandon Ingram,12-01-2025
50,LeBron James,12-01-2025

1,Nikola Jokic,12-02-2025
2,Luka Doncic,12-02-2025
3,Giannis Antetokounmpo,12-02-2025
4,Shai Gilgeous-Alexander,12-02-2025
5,Tyrese Maxey,12-02-2025
6,Victor Wembanyama,12-02-2025
7,Cade Cunningham,12-02-2025
8,Donovan Mitchell,12-02-2025
9,Austin Reaves,12-02-2025
10,Jalen Johnson,12-02-2025
11,James Harden,12-02-2025
12,Alperen Sengun,12-02-2025
13,Josh Giddey,12-02-2025
14,Jaylen Brown,12-02-2025
15,Anthony Edwards,12-02-2025
16,Jalen Brunson,12-02-2025
17,Deni Avdija,12-02-2025
18,Kawhi Leonard,12-02-2025
19,Julius Randle,12-02-2025
20,Stephen Curry,12-02-2025
21,Lauri Markkanen,12-02-2025
22,Anthony Davis,12-02-2025
23,Jamal Murray,12-02-2025
24,Karl-Anthony Towns,12-02-2025
25,Tyler Herro,12-02-2025
26,Scottie Barnes,12-02-2025
27,De'Aaron Fox,12-02-2025
28,Devin Booker,12-02-2025
29,Michael Porter Jr.,12-02-2025
30,Pascal Siakam,12-02-2025
31,Jalen Duren,12-02-2025
32,Kevin Durant,12-02-2025
33,Keyonte George,12-02-2025
34,Jimmy Butler III,12-02-2025
35,Paolo Banchero,12-02-2025
36,Franz Wagner,12-02-2025
37,Coby White,12-02-2025
38,Norman Powell,12-02-2025
39,Evan Mobley,12-02-2025
40,Alex Sarr,12-02-2025
41,LaMelo Ball,12-02-2025
42,Domantas Sabonis,12-02-2025
43,Ivica Zubac,12-02-2025
44,Walker Kessler,12-02-2025
45,Jrue Holiday,12-02-2025
46,Zion Williamson,12-02-2025
47,Bam Adebayo,12-02-2025
48,Miles Bridges,12-02-2025
49,Stephon Castle,12-02-2025
50,Brandon Ingram,12-02-2025

1,Nikola Jokic,12-03-2025
2,Luka Doncic,12-03-2025
3,Giannis Antetokounmpo,12-03-2025
4,Shai Gilgeous-Alexander,12-03-2025
5,Tyrese Maxey,12-03-2025
6,Victor Wembanyama,12-03-2025
7,Cade Cunningham,12-03-2025
8,Donovan Mitchell,12-03-2025
9,Austin Reaves,12-03-2025
10,Jalen Johnson,12-03-2025
11,James Harden,12-03-2025
12,Alperen Sengun,12-03-2025
13,Anthony Edwards,12-03-2025
14,Jaylen Brown,12-03-2025
15,Josh Giddey,12-03-2025
16,Deni Avdija,12-03-2025
17,Jalen Brunson,12-03-2025
18,Kawhi Leonard,12-03-2025
19,Stephen Curry,12-03-2025
20,Lauri Markkanen,12-03-2025
21,Julius Randle,12-03-2025
22,Karl-Anthony Towns,12-03-2025
23,Anthony Davis,12-03-2025
24,Scottie Barnes,12-03-2025
25,Jamal Murray,12-03-2025
26,De'Aaron Fox,12-03-2025
27,Tyler Herro,12-03-2025
28,Devin Booker,12-03-2025
29,Michael Porter Jr.,12-03-2025
30,Pascal Siakam,12-03-2025
31,Jalen Duren,12-03-2025
32,Kevin Durant,12-03-2025
33,Keyonte George,12-03-2025
34,Paolo Banchero,12-03-2025
35,Franz Wagner,12-03-2025
36,Coby White,12-03-2025
37,Norman Powell,12-03-2025
38,Evan Mobley,12-03-2025
39,Alex Sarr,12-03-2025
40,LaMelo Ball,12-03-2025
41,Domantas Sabonis,12-03-2025
42,Jimmy Butler III,12-03-2025
43,Ivica Zubac,12-03-2025
44,Walker Kessler,12-03-2025
45,Jrue Holiday,12-03-2025
46,Trey Murphy III,12-03-2025
47,Zion Williamson,12-03-2025
48,Bam Adebayo,12-03-2025
49,Miles Bridges,12-03-2025
50,Stephon Castle,12-03-2025
